customer_id,gender,age,payment_method
CUS-00216,Male,40,Online
CUS-00217,Female,40,Card
CUS-00218,Female,54,Card
CUS-00219,Male,28,Online
CUS-00220,Female,42,Online
CUS-00221,Female,68,Card
CUS-00222,Female,67,Card
CUS-00223,Female,30,Online
CUS-00224,Male,62,Online
CUS-00225,Female,26,Cash
CUS-00226,Male,30,Card
CUS-00227,Male,61,Card
CUS-00228,Male,54,Online
CUS-00229,Female,66,Cash
CUS-00230,Male,18,Online
CUS-00231,Male,35,Cash
CUS-00232,Male,38,Cash
CUS-00233,Female,41,Cash
CUS-00234,Male,28,Card
CUS-00235,Male,61,Cash
CUS-00236,Female,22,Online
CUS-00237,Male,28,Online
CUS-00238,Female,25,Online
CUS-00239,Female,69,Online
CUS-00240,Male,57,Card
CUS-00241,Male,25,Card
CUS-00242,Female,38,Cash
CUS-00243,Male,45,Online
CUS-00244,Female,53,Card
CUS-00245,Male,48,Cash
CUS-00246,Female,30,Card
CUS-00247,Male,43,Card
CUS-00248,Male,34,Online
CUS-00249,Female,69,Online
CUS-00250,Male,41,Cash
CUS-00251,Female,51,Cash
CUS-00252,Male,61,Online
CUS-00253,Female,49,Online
CUS-00254,Male,28,Card
CUS-00255,Female,58,Online
CUS-00256,Female,63,Cash
CUS-00257,Male,38,Cash
CUS-00258,Male,66,Cash
CUS-00259,Female,44,Cash
CUS-00260,Female,54,Online
CUS-00261,Female,70,Cash
CUS-00262,Female,52,Online
CUS-00263,Male,66,Online
CUS-00264,Male,18,Online
CUS-00265,Male,55,Cash
CUS-00266,Male,54,Cash
CUS-00267,Female,28,Card
CUS-00268,Male,58,Cash
CUS-00269,Female,54,Cash
CUS-00270,Female,37,Cash
CUS-00271,Male,70,Card
CUS-00272,Female,31,Cash
CUS-00273,Male,50,Online
CUS-00274,Male,33,Card
CUS-00275,Female,49,Card
CUS-00276,Male,38,Online
CUS-00277,Male,27,Cash
CUS-00278,Female,42,Online
CUS-00279,Female,57,Cash
CUS-00280,Male,21,Cash
CUS-00281,Male,42,Online
CUS-00282,Female,35,Online
CUS-00283,Male,46,Cash
CUS-00284,Male,45,Cash
CUS-00285,Female,39,Online
CUS-00286,Male,54,Card
CUS-00287,Male,51,Card
CUS-00288,Female,41,Card
CUS-00289,Male,26,Cash
CUS-00290,Male,20,Card
CUS-00291,Male,69,Card
CUS-00292,Male,42,Cash
CUS-00293,Female,69,Cash
CUS-00294,Female,33,Online
CUS-00295,Male,67,Card
CUS-00296,Male,67,Card
CUS-00297,Female,32,Cash
CUS-00298,Male,70,Cash
CUS-00299,Female,27,Online
CUS-00300,Female,18,Card
CUS-00301,Female,20,Card
CUS-00302,Female,69,Cash
CUS-00303,Female,50,Card
CUS-00304,Female,23,Cash
CUS-00305,Female,50,Online
CUS-00306,Male,42,Cash
CUS-00307,Male,41,Online
CUS-00308,Male,41,Cash
CUS-00309,Male,70,Cash
CUS-00310,Female,25,Cash
CUS-00311,Male,49,Online
CUS-00312,Female,25,Cash
CUS-00313,Male,28,Card
CUS-00314,Female,57,Online
CUS-00315,Female,21,Card
CUS-00316,Male,58,Online
CUS-00317,Male,38,Online
CUS-00318,Female,26,Card
CUS-00319,Male,57,Card
CUS-00320,Male,49,Cash
CUS-00321,Male,26,Online
CUS-00322,Male,59,Card
CUS-00323,Female,29,Card
CUS-00324,Female,56,Online
CUS-00325,Female,21,Card
CUS-00326,Male,62,Card
CUS-00327,Female,29,Online
CUS-00328,Female,24,Cash
CUS-00329,Male,31,Online
CUS-00330,Male,41,Cash
CUS-00331,Female,23,Cash
CUS-00332,Male,45,Cash
CUS-00333,Female,58,Online
CUS-00334,Male,18,Online
CUS-00335,Male,20,Online
CUS-00336,Male,40,Online
CUS-00337,Female,33,Online
CUS-00338,Female,68,Card
CUS-00339,Male,70,Cash
CUS-00340,Female,40,Online
CUS-00341,Female,21,Card
CUS-00342,Male,19,Online
CUS-00343,Female,41,Cash
CUS-00344,Male,59,Online
CUS-00345,Female,66,Card
CUS-00346,Male,65,Cash
CUS-00347,Female,19,Online
CUS-00348,Male,44,Cash
CUS-00349,Male,34,Cash
CUS-00350,Female,58,Cash
CUS-00351,Female,35,Card
CUS-00352,Male,41,Cash
CUS-00353,Male,19,Online
CUS-00354,Male,62,Card
CUS-00355,Male,22,Online
CUS-00356,Female,42,Online
CUS-00357,Male,40,Online
CUS-00358,Male,63,Card
CUS-00359,Male,31,Cash
CUS-00360,Female,47,Card
CUS-00361,Female,46,Card
CUS-00362,Male,47,Cash
CUS-00363,Male,64,Cash
CUS-00364,Male,69,Card
CUS-00365,Female,42,Cash
CUS-00366,Female,46,Online
CUS-00367,Female,51,Online
CUS-00368,Male,22,Online
CUS-00369,Male,22,Cash
CUS-00370,Female,48,Online
CUS-00371,Female,52,Online
CUS-00372,Female,30,Card
CUS-00373,Female,42,Card
CUS-00374,Male,40,Online
CUS-00375,Female,19,Card
CUS-00376,Male,54,Online
CUS-00377,Male,60,Online
CUS-00378,Female,60,Cash
CUS-00379,Male,54,Cash
CUS-00380,Male,64,Online
CUS-00381,Female,30,Online
CUS-00382,Male,67,Online
CUS-00383,Female,31,Card
CUS-00384,Female,53,Card
CUS-00385,Male,68,Cash
CUS-00386,Female,59,Cash
CUS-00387,Female,42,Online
CUS-00388,Female,41,Card
CUS-00389,Male,22,Card
CUS-00390,Female,55,Cash
CUS-00391,Female,25,Online
CUS-00392,Female,27,Card
CUS-00393,Female,32,Cash
CUS-00394,Female,21,Online
CUS-00395,Male,48,Online
CUS-00396,Male,51,Cash
CUS-00397,Female,51,Online
CUS-00398,Male,18,Online
CUS-00399,Female,61,Cash
CUS-00400,Male,52,Card
CUS-00401,Female,49,Online
CUS-00402,Male,36,Online
CUS-00403,Female,23,Online
CUS-00404,Male,55,Cash
CUS-00405,Male,66,Cash
CUS-00406,Male,27,Card
CUS-00407,Male,32,Card
CUS-00408,Male,52,Cash
CUS-00409,Female,49,Online
CUS-00410,Female,66,Card
CUS-00411,Female,68,Cash
CUS-00412,Male,53,Card
CUS-00413,Female,31,Card
CUS-00414,Male,26,Online
CUS-00415,Female,68,Cash
CUS-00416,Female,68,Card
CUS-00417,Female,43,Card
CUS-00418,Male,40,Card
CUS-00419,Female,27,Cash
CUS-00420,Female,51,Online
CUS-00421,Female,22,Cash
CUS-00422,Male,46,Online
CUS-00423,Female,27,Online
CUS-00424,Female,59,Cash
CUS-00425,Male,36,Online
CUS-00426,Female,65,Cash
CUS-00427,Female,53,Card
CUS-00428,Female,21,Card
CUS-00429,Male,29,Cash
CUS-00430,Male,42,Online
CUS-00431,Male,56,Cash
CUS-00432,Female,67,Card
CUS-00433,Male,51,Card
CUS-00434,Female,69,Cash
CUS-00435,Female,57,Card
CUS-00436,Female,65,Card
CUS-00437,Male,30,Card
CUS-00438,Female,21,Card
CUS-00439,Male,61,Online
CUS-00440,Female,58,Online
CUS-00441,Male,62,Card
CUS-00442,Male,19,Cash
CUS-00443,Female,44,Card
CUS-00444,Male,30,Online
CUS-00445,Male,38,Online
CUS-00446,Male,24,Online
CUS-00447,Female,49,Online
CUS-00448,Female,48,Cash
CUS-00449,Female,34,Card
CUS-00450,Male,67,Card
CUS-00451,Male,40,Cash
CUS-00452,Male,40,Cash
CUS-00453,Male,63,Card
CUS-00454,Female,24,Cash
CUS-00455,Male,25,Cash
CUS-00456,Female,34,Online
CUS-00457,Male,22,Cash
CUS-00458,Female,46,Card
CUS-00459,Male,22,Cash
CUS-00460,Male,60,Card
CUS-00461,Male,36,Cash
CUS-00462,Female,51,Cash
CUS-00463,Female,26,Online
CUS-00464,Male,35,Card
CUS-00465,Female,67,Card
CUS-00466,Female,18,Cash
CUS-00467,Female,57,Online
CUS-00468,Male,63,Online
CUS-00469,Male,20,Online
CUS-00470,Male,49,Card
CUS-00471,Female,35,Card
CUS-00472,Male,21,Card
CUS-00473,Male,53,Card
CUS-00474,Male,48,Card
CUS-00475,Female,58,Card
CUS-00476,Male,48,Cash
CUS-00477,Female,43,Cash
CUS-00478,Male,62,Card
CUS-00479,Male,31,Cash
CUS-00480,Male,27,Online
CUS-00481,Female,67,Cash
CUS-00482,Female,26,Card
CUS-00483,Male,21,Online
CUS-00484,Male,66,Cash
CUS-00485,Female,56,Card
CUS-00486,Male,45,Online
CUS-00487,Female,32,Cash
CUS-00488,Female,29,Online
CUS-00489,Male,43,Online
CUS-00490,Male,60,Cash
CUS-00491,Male,42,Online
CUS-00492,Female,25,Cash
CUS-00493,Female,28,Card
CUS-00494,Male,53,Cash
CUS-00495,Female,26,Card
CUS-00496,Female,24,Cash
CUS-00497,Female,36,Cash
CUS-00498,Male,64,Online
CUS-00499,Female,47,Online
CUS-00500,Male,54,Online
CUS-00501,Female,52,Card
CUS-00502,Male,23,Cash
CUS-00503,Female,56,Cash
CUS-00504,Male,54,Card
CUS-00505,Male,54,Card
CUS-00506,Male,46,Online
CUS-00507,Male,62,Cash
CUS-00508,Female,33,Card
CUS-00509,Female,69,Online
CUS-00510,Female,32,Card
CUS-00511,Male,43,Online
CUS-00512,Female,20,Card
CUS-00513,Female,26,Cash
CUS-00514,Male,44,Card
CUS-00515,Male,20,Card
CUS-00516,Male,65,Cash
CUS-00517,Male,52,Cash
CUS-00518,Male,57,Card
CUS-00519,Male,32,Online
CUS-00520,Male,37,Cash
CUS-00521,Female,36,Cash
CUS-00522,Male,64,Online
CUS-00523,Female,30,Online
CUS-00524,Female,26,Cash
CUS-00525,Male,19,Online
CUS-00526,Male,39,Card
CUS-00527,Female,43,Online
CUS-00528,Male,41,Online
CUS-00529,Male,32,Online
CUS-00530,Female,23,Online
CUS-00531,Male,37,Card
CUS-00532,Female,42,Cash
CUS-00533,Male,18,Cash
CUS-00534,Female,35,Online
CUS-00535,Male,52,Card
CUS-00536,Female,24,Cash
CUS-00537,Male,51,Online
CUS-00538,Female,32,Card
CUS-00539,Male,46,Card
CUS-00540,Male,34,Card
CUS-00541,Male,45,Online
CUS-00542,Male,62,Cash
CUS-00543,Female,67,Online
CUS-00544,Male,57,Online
CUS-00545,Male,18,Card
CUS-00546,Male,33,Online
CUS-00547,Female,47,Card
CUS-00548,Female,54,Card
CUS-00549,Male,65,Card
CUS-00550,Male,67,Cash
CUS-00551,Female,25,Card
CUS-00552,Female,20,Card
CUS-00553,Female,54,Card
CUS-00554,Male,58,Cash
CUS-00555,Male,34,Cash
CUS-00556,Female,41,Cash
CUS-00557,Male,47,Cash
CUS-00558,Male,28,Cash
CUS-00559,Female,53,Card
CUS-00560,Male,24,Online
CUS-00561,Male,38,Online
CUS-00562,Male,32,Online
CUS-00563,Female,58,Cash
CUS-00564,Female,52,Card
CUS-00565,Male,48,Online
CUS-00566,Female,53,Online
CUS-00567,Male,68,Online
CUS-00568,Female,36,Online
CUS-00569,Male,44,Cash
CUS-00570,Male,55,Online
CUS-00571,Male,43,Card
CUS-00572,Male,49,Cash
CUS-00573,Female,39,Online
CUS-00574,Female,67,Card
CUS-00575,Female,41,Online
CUS-00576,Male,19,Cash
CUS-00577,Male,45,Cash
CUS-00578,Male,57,Card
CUS-00579,Female,41,Card
CUS-00580,Male,68,Card
CUS-00581,Female,39,Online
CUS-00582,Female,21,Cash
CUS-00583,Female,46,Card
CUS-00584,Male,60,Online
CUS-00585,Male,23,Online
CUS-00586,Male,33,Cash
CUS-00587,Female,64,Cash
CUS-00588,Female,22,Cash
CUS-00589,Female,20,Online
CUS-00590,Male,32,Card
CUS-00591,Female,55,Card
CUS-00592,Male,67,Cash
CUS-00593,Male,63,Cash
CUS-00594,Male,63,Card
CUS-00595,Female,61,Cash
CUS-00596,Male,55,Cash
CUS-00597,Female,26,Cash
CUS-00598,Female,19,Cash
CUS-00599,Female,56,Online
CUS-00600,Female,29,Online
CUS-00601,Male,38,Online
CUS-00602,Male,66,Card
CUS-00603,Female,31,Cash
CUS-00604,Male,40,Cash
CUS-00605,Female,33,Cash
CUS-00606,Female,67,Card
CUS-00607,Female,42,Cash
CUS-00608,Female,47,Online
CUS-00609,Female,56,Online
CUS-00610,Female,61,Online
CUS-00611,Female,68,Online
CUS-00612,Female,56,Cash
CUS-00613,Male,70,Online
CUS-00614,Male,29,Cash
CUS-00615,Male,41,Cash
CUS-00616,Male,41,Online
CUS-00617,Female,23,Online
CUS-00618,Male,39,Card
CUS-00619,Female,66,Cash
CUS-00620,Male,56,Online
CUS-00621,Male,45,Cash
CUS-00622,Male,36,Online
CUS-00623,Female,27,Cash
CUS-00624,Male,42,Online
CUS-00625,Male,42,Card
CUS-00626,Female,35,Card
CUS-00627,Male,37,Online
CUS-00628,Male,26,Cash
CUS-00629,Male,65,Cash
CUS-00630,Female,57,Card
CUS-00631,Female,20,Cash
CUS-00632,Female,37,Cash
CUS-00633,Male,66,Online
CUS-00634,Female,59,Card
CUS-00635,Male,48,Cash
CUS-00636,Male,57,Online
CUS-00637,Male,64,Online
CUS-00638,Female,44,Cash
CUS-00639,Male,32,Online
CUS-00640,Female,51,Cash
CUS-00641,Female,28,Cash
CUS-00642,Male,36,Card
CUS-00643,Female,50,Online
CUS-00644,Male,53,Online
CUS-00645,Male,53,Online
CUS-00646,Male,29,Cash
CUS-00647,Female,42,Card
CUS-00648,Female,37,Cash
CUS-00649,Female,68,Card
CUS-00650,Male,41,Card
CUS-00651,Female,38,Online
CUS-00652,Male,25,Online
CUS-00653,Male,32,Online
CUS-00654,Female,33,Online
CUS-00655,Female,41,Online
CUS-00656,Female,36,Card
CUS-00657,Male,32,Cash
CUS-00658,Female,25,Card
CUS-00659,Female,25,Cash
CUS-00660,Male,37,Cash
CUS-00661,Male,36,Card
CUS-00662,Female,64,Cash
CUS-00663,Female,47,Cash
CUS-00664,Female,61,Online
CUS-00665,Male,23,Card
CUS-00666,Female,66,Online
CUS-00667,Male,41,Cash
CUS-00668,Female,26,Card
CUS-00669,Female,37,Card
CUS-00670,Female,67,Card
CUS-00671,Female,50,Online
CUS-00672,Male,64,Card
CUS-00673,Male,28,Cash
CUS-00674,Male,41,Card
CUS-00675,Male,70,Cash
CUS-00676,Female,61,Card
CUS-00677,Female,58,Online
CUS-00678,Female,53,Online
CUS-00679,Male,29,Cash
CUS-00680,Female,66,Cash
CUS-00681,Female,47,Online
CUS-00682,Female,63,Online
CUS-00683,Male,60,Card
CUS-00684,Male,55,Card
CUS-00685,Female,23,Card
CUS-00686,Male,29,Card
CUS-00687,Female,30,Online
CUS-00688,Female,32,Online
CUS-00689,Female,33,Online
CUS-00690,Male,23,Card
CUS-00691,Male,30,Cash
CUS-00692,Female,46,Card
CUS-00693,Female,52,Cash
CUS-00694,Male,40,Online
CUS-00695,Female,65,Cash
CUS-00696,Female,35,Cash
CUS-00697,Female,66,Online
CUS-00698,Male,18,Online
CUS-00699,Female,21,Cash
CUS-00700,Male,50,Online
CUS-00701,Male,53,Card
CUS-00702,Female,32,Online
CUS-00703,Male,70,Cash
CUS-00704,Male,41,Cash
CUS-00705,Female,21,Card
CUS-00706,Male,49,Card
CUS-00707,Female,37,Online
CUS-00708,Male,22,Card
CUS-00709,Female,42,Online
CUS-00710,Female,67,Cash
CUS-00711,Male,61,Cash
CUS-00712,Female,24,Cash
CUS-00713,Female,65,Card
CUS-00714,Male,48,Online
CUS-00715,Male,55,Card
CUS-00716,Male,25,Cash
CUS-00717,Male,60,Cash
CUS-00718,Male,30,Card
CUS-00719,Female,58,Card
CUS-00720,Male,68,Card
CUS-00721,Male,20,Online
CUS-00722,Female,20,Online
CUS-00723,Female,53,Online
CUS-00724,Male,28,Online
CUS-00725,Female,61,Card
CUS-00726,Male,65,Online
CUS-00727,Female,45,Card
CUS-00728,Female,47,Online
CUS-00729,Female,39,Cash
CUS-00730,Female,21,Card
CUS-00731,Female,49,Card
CUS-00732,Female,64,Online
CUS-00733,Female,63,Card
CUS-00734,Male,30,Online
CUS-00735,Male,31,Online
CUS-00736,Male,40,Card
CUS-00737,Male,18,Card
CUS-00738,Female,27,Cash
CUS-00739,Female,23,Cash
CUS-00740,Female,70,Cash
CUS-00741,Male,57,Online
CUS-00742,Female,60,Cash
CUS-00743,Male,20,Online
CUS-00744,Female,39,Online
CUS-00745,Female,51,Cash
CUS-00746,Female,69,Card
CUS-00747,Male,57,Cash
CUS-00748,Female,66,Card
CUS-00749,Female,48,Online
CUS-00750,Male,22,Cash
CUS-00751,Female,24,Online
CUS-00752,Male,30,Online
CUS-00753,Male,41,Card
CUS-00754,Male,32,Card
CUS-00755,Female,37,Online
CUS-00756,Female,18,Card
CUS-00757,Female,56,Online
CUS-00758,Male,30,Online
CUS-00759,Male,26,Online
CUS-00760,Male,67,Card
CUS-00761,Female,61,Card
CUS-00762,Female,40,Cash
CUS-00763,Male,37,Card
CUS-00764,Female,52,Online
CUS-00765,Female,54,Card
CUS-00766,Male,44,Card
CUS-00767,Female,30,Cash
CUS-00768,Female,54,Online
CUS-00769,Female,47,Online
CUS-00770,Male,28,Card
CUS-00771,Male,30,Online
CUS-00772,Female,62,Card
CUS-00773,Female,59,Cash
CUS-00774,Male,31,Online
CUS-00775,Male,42,Online
CUS-00776,Male,47,Cash
CUS-00777,Female,56,Cash
CUS-00778,Male,18,Online
CUS-00779,Female,61,Online
CUS-00780,Male,51,Cash
CUS-00781,Male,38,Online
CUS-00782,Female,33,Cash
CUS-00783,Female,20,Card
CUS-00784,Male,55,Card
CUS-00785,Male,55,Cash
CUS-00786,Female,45,Cash
CUS-00787,Male,40,Cash
CUS-00788,Female,56,Card
CUS-00789,Female,60,Online
CUS-00790,Female,57,Card
CUS-00791,Female,64,Cash
CUS-00792,Female,29,Online
CUS-00793,Male,38,Online
CUS-00794,Female,62,Card
CUS-00795,Female,59,Online
CUS-00796,Male,29,Cash
CUS-00797,Male,70,Cash
CUS-00798,Male,30,Card
CUS-00799,Male,33,Cash
CUS-00800,Male,47,Online
CUS-00801,Male,48,Cash
CUS-00802,Male,66,Card
CUS-00803,Female,55,Cash
CUS-00804,Male,32,Cash
CUS-00805,Male,42,Card
CUS-00806,Male,38,Cash
CUS-00807,Female,65,Cash
CUS-00808,Female,61,Cash
CUS-00809,Female,37,Online
CUS-00810,Male,43,Cash
CUS-00811,Male,23,Card
CUS-00812,Female,60,Cash
CUS-00813,Female,43,Online
CUS-00814,Female,21,Cash
CUS-00815,Female,48,Card
CUS-00816,Female,34,Cash
CUS-00817,Male,64,Card
CUS-00818,Male,39,Card
CUS-00819,Male,35,Online
CUS-00820,Female,52,Cash
CUS-00821,Female,30,Cash
CUS-00822,Female,23,Cash
CUS-00823,Female,28,Card
CUS-00824,Female,64,Online
CUS-00825,Female,43,Cash
CUS-00826,Female,24,Online
CUS-00827,Female,45,Cash
CUS-00828,Female,22,Card
CUS-00829,Male,62,Online
CUS-00830,Female,58,Online
CUS-00831,Female,63,Online
CUS-00832,Male,62,Card
CUS-00833,Female,39,Cash
CUS-00834,Male,43,Online
CUS-00835,Male,42,Online
CUS-00836,Male,66,Card
CUS-00837,Male,61,Cash
CUS-00838,Male,45,Card
CUS-00839,Male,24,Card
CUS-00840,Female,59,Card
CUS-00841,Female,26,Online
CUS-00842,Female,51,Online
CUS-00843,Female,66,Online
CUS-00844,Female,60,Online
CUS-00845,Female,42,Card
CUS-00846,Male,61,Card
CUS-00847,Female,43,Card
CUS-00848,Male,37,Online
CUS-00849,Male,31,Card
CUS-00850,Female,64,Cash
CUS-00851,Male,61,Online
CUS-00852,Female,25,Online
CUS-00853,Male,48,Card
CUS-00854,Female,24,Card
CUS-00855,Female,47,Cash
CUS-00856,Male,20,Online
CUS-00857,Male,23,Card
CUS-00858,Male,65,Online
CUS-00859,Female,49,Card
CUS-00860,Male,32,Online
CUS-00861,Female,23,Card
CUS-00862,Male,18,Online
CUS-00863,Female,68,Card
CUS-00864,Male,54,Cash
CUS-00865,Female,31,Cash
CUS-00866,Male,68,Online
CUS-00867,Male,31,Online
CUS-00868,Female,41,Card
CUS-00869,Female,70,Card
CUS-00870,Male,40,Cash
CUS-00871,Male,54,Card
CUS-00872,Female,25,Cash
CUS-00873,Female,20,Card
CUS-00874,Female,69,Cash
CUS-00875,Male,33,Card
CUS-00876,Female,61,Card
CUS-00877,Male,53,Online
CUS-00878,Female,45,Cash
CUS-00879,Female,67,Cash
CUS-00880,Female,68,Card
CUS-00881,Female,22,Cash
CUS-00882,Female,51,Cash
CUS-00883,Male,45,Card
CUS-00884,Male,65,Card
CUS-00885,Female,60,Cash
CUS-00886,Female,60,Online
CUS-00887,Male,32,Online
CUS-00888,Female,61,Card
CUS-00889,Male,65,Online
CUS-00890,Female,68,Card
CUS-00891,Male,23,Card
CUS-00892,Male,59,Online
CUS-00893,Female,63,Card
CUS-00894,Male,52,Card
CUS-00895,Female,61,Cash
CUS-00896,Male,35,Cash
CUS-00897,Male,38,Cash
CUS-00898,Female,41,Cash
CUS-00899,Female,22,Card
CUS-00900,Male,26,Cash
CUS-00901,Female,22,Cash
CUS-00902,Male,39,Cash
CUS-00903,Male,43,Card
CUS-00904,Male,28,Cash
CUS-00905,Male,41,Card
CUS-00906,Female,57,Cash
CUS-00907,Male,38,Online
CUS-00908,Male,60,Cash
CUS-00909,Male,38,Card
CUS-00910,Female,42,Cash
CUS-00911,Female,24,Card
